H,AVG,HR,RBI,SLG,OBP,Inducted
2529,0.293,287,1365,0.461,0.324,N
2239,0.295,255,1230,0.465,0.398,N
2705,0.296,37,842,0.375,0.340,N
2672,0.312,67,1015,0.429,0.386,N
2254,0.277,342,1331,0.464,0.362,Y
2445,0.303,173,1146,0.442,0.383,N
2437,0.292,287,1349,0.477,0.396,N
2191,0.260,15,525,0.320,0.300,N
2333,0.288,399,1425,0.499,0.347,N
2930,0.358,301,1584,0.577,0.434,Y
1759,0.246,112,720,0.349,0.327,N
1838,0.254,105,826,0.346,0.315,N
2645,0.292,47,1371,0.382,0.328,N
2256,0.280,108,1071,0.399,0.365,N
2735,0.316,248,1609,0.500,0.387,Y
2135,0.260,338,1276,0.436,0.342,N
2654,0.344,521,1839,0.634,0.482,Y
2365,0.285,185,1003,0.415,0.352,N
2092,0.262,324,1225,0.439,0.335,Y
2461,0.290,377,1518,0.500,0.356,N
2574,0.312,555,1831,0.585,0.411,N
2466,0.281,75,817,0.387,0.368,Y
2880,0.316,105,1244,0.432,0.369,Y
2326,0.282,188,1153,0.413,0.332,N
2646,0.325,534,1922,0.609,0.428,Y
2468,0.301,521,1704,0.555,0.419,N
2839,0.320,184,1427,0.480,0.404,Y
2006,0.255,160,886,0.383,0.293,N
2249,0.259,79,646,0.342,0.311,N
2599,0.294,272,1308,0.446,0.329,N
2099,0.267,275,1073,0.425,0.370,N
2251,0.284,165,1077,0.420,0.354,N
2408,0.273,609,1667,0.534,0.344,N
2232,0.282,475,1540,0.529,0.360,Y
2663,0.288,35,790,0.363,0.348,Y
2660,0.295,73,1437,0.405,0.361,Y
2743,0.303,219,1326,0.451,0.344,N
2724,0.300,210,1134,0.443,0.371,Y
2383,0.300,169,1304,0.453,0.382,Y
2309,0.268,34,1121,0.358,0.332,Y
2930,0.308,86,1575,0.435,0.361,Y
2726,0.303,468,1623,0.529,0.401,N
2369,0.276,244,1084,0.426,0.363,N
2315,0.271,512,1453,0.509,0.376,Y
2415,0.298,536,1509,0.557,0.421,Y
2901,0.300,647,1950,0.560,0.384,N
2987,0.322,34,1078,0.427,0.374,Y
2234,0.267,548,1595,0.527,0.380,Y
2514,0.279,201,1106,0.406,0.341,N
2495,0.286,172,1311,0.428,0.359,N
2884,0.317,132,1248,0.450,0.367,Y
2749,0.310,45,1116,0.398,0.399,Y
3304,0.313,255,1254,0.448,0.382,N
2769,0.284,235,1139,0.433,0.352,N
2561,0.279,182,1053,0.412,0.311,N
3000,0.317,240,1305,0.475,0.359,Y
2086,0.256,573,1584,0.509,0.376,Y
2380,0.274,350,1372,0.451,0.360,N
3010,0.328,118,1014,0.443,0.415,Y
3141,0.338,135,1138,0.459,0.388,Y
1913,0.266,215,1044,0.408,0.360,N
2457,0.272,84,1233,0.382,0.358,N
2472,0.285,248,1389,0.437,0.348,N
2490,0.284,493,1550,0.509,0.377,N
2712,0.290,339,1493,0.471,0.339,N
2757,0.286,256,1170,0.442,0.327,N
3053,0.328,92,1015,0.429,0.393,Y
2665,0.285,70,800,0.386,0.361,Y
3242,0.338,83,1599,0.467,0.380,Y
2328,0.276,612,1699,0.554,0.402,N
2326,0.267,101,950,0.357,0.322,N
2711,0.290,426,1475,0.492,0.361,Y
2356,0.269,376,1330,0.457,0.341,Y
2605,0.294,170,980,0.425,0.385,N
2873,0.342,714,2217,0.690,0.474,Y
2280,0.255,360,1341,0.434,0.308,N
2715,0.289,174,1208,0.408,0.321,N
2961,0.309,97,1525,0.452,0.362,Y
3418,0.333,97,2076,0.445,0.405,Y
2586,0.298,173,1194,0.417,0.365,N
2583,0.274,512,1636,0.500,0.330,Y
2844,0.296,311,1332,0.464,0.334,N
3152,0.333,113,1309,0.473,0.404,Y
2460,0.262,28,793,0.328,0.337,Y
2689,0.292,509,1676,0.514,0.393,N
2548,0.271,304,1167,0.442,0.332,N
2211,0.270,521,1555,0.515,0.374,Y
2591,0.283,354,1439,0.479,0.367,N
2677,0.262,83,791,0.343,0.311,Y
2446,0.272,385,1384,0.470,0.370,N
3023,0.293,149,900,0.410,0.343,Y
2774,0.279,438,1591,0.482,0.323,Y
2517,0.271,268,1133,0.427,0.392,Y
2605,0.258,28,884,0.340,0.318,Y
2781,0.284,630,1836,0.538,0.370,N
3319,0.306,234,1307,0.448,0.369,Y
2223,0.248,414,1354,0.431,0.361,N
2225,0.248,390,1314,0.421,0.329,N
3154,0.305,317,1595,0.487,0.369,Y
2876,0.304,511,1860,0.533,0.414,Y
2732,0.279,379,1652,0.463,0.341,Y
3514,0.345,117,1529,0.500,0.428,Y
3415,0.327,101,1732,0.466,0.391,Y
2943,0.294,586,1812,0.537,0.389,Y
2584,0.262,563,1702,0.490,0.356,Y
3315,0.333,47,1300,0.429,0.424,Y
2866,0.289,384,1628,0.465,0.356,N
3020,0.288,569,1835,0.515,0.371,N
3007,0.297,399,1583,0.480,0.376,Y
3060,0.281,291,1175,0.433,0.363,N
3142,0.285,251,1406,0.430,0.342,Y
2848,0.267,268,1357,0.401,0.322,Y
2877,0.272,80,951,0.352,0.336,N
2716,0.279,292,1466,0.431,0.362,N
3110,0.283,465,1833,0.475,0.353,Y
2935,0.298,762,1996,0.607,0.444,N
3283,0.302,660,1903,0.557,0.384,Y
3184,0.276,431,1695,0.447,0.340,Y
3630,0.331,475,1951,0.559,0.417,Y
3255,0.287,504,1917,0.476,0.359,Y
4189,0.366,117,1937,0.512,0.433,Y
3055,0.279,297,1115,0.419,0.401,Y
3771,0.305,755,2297,0.555,0.374,Y
3419,0.285,452,1844,0.462,0.379,Y
4256,0.303,160,1314,0.409,0.375,N
