@relation MLBWinRates

@attribute HR numeric
@attribute SOA numeric
@attribute R numeric
@attribute RA numeric
@attribute SLG numeric
@attribute ERA numeric
@attribute BB numeric
@attribute WHIP numeric
@attribute AVG numeric
@attribute Result {.400,.450,.500,.550,.600}

@data
55,975,628,723,0.328,3.89,593,1.38,0.246,.400
146,643,675,792,0.389,4.34,553,1.48,0.25,.400
107,669,583,739,0.346,3.91,543,1.44,0.244,.400
78,713,552,683,0.335,3.48,506,1.38,0.244,.400
88,677,570,655,0.34,3.64,511,1.37,0.246,.400
82,818,620,700,0.334,3.86,589,1.39,0.245,.400
63,731,629,671,0.359,3.6,512,1.37,0.26,.400
100,876,676,739,0.38,4.1,531,1.37,0.269,.400
125,719,639,765,0.389,4.32,443,1.42,0.258,.400
120,827,692,834,0.375,4.43,602,1.52,0.249,.400
106,710,634,731,0.379,4.21,409,1.4,0.264,.400
106,739,639,694,0.379,3.97,488,1.4,0.261,.400
100,750,532,690,0.351,3.62,433,1.38,0.245,.400
123,848,600,750,0.363,4.08,550,1.41,0.244,.400
86,775,607,690,0.352,3.87,549,1.36,0.245,.400
79,859,600,657,0.358,3.58,420,1.32,0.249,.400
132,736,711,820,0.404,4.58,515,1.49,0.269,.400
126,779,669,763,0.377,4.18,490,1.41,0.256,.400
93,779,603,681,0.348,3.69,534,1.34,0.242,.400
125,880,672,751,0.365,4.16,580,1.44,0.246,.400
106,725,698,797,0.378,4.52,539,1.45,0.265,.400
91,724,587,722,0.37,3.92,399,1.39,0.259,.400
126,705,624,762,0.383,4.19,448,1.47,0.251,.400
61,886,611,702,0.345,3.85,501,1.37,0.257,.400
89,478,426,521,0.368,4.23,329,1.4,0.251,.400
149,697,691,819,0.367,4.54,582,1.48,0.236,.400
97,759,609,723,0.35,3.88,456,1.44,0.247,.400
154,668,722,779,0.393,4.31,509,1.45,0.26,.400
86,794,704,785,0.369,4.43,605,1.43,0.265,.400
141,748,709,822,0.401,4.66,467,1.49,0.261,.400
140,807,701,719,0.401,4.08,470,1.4,0.261,.400
112,717,575,680,0.344,3.68,436,1.38,0.241,.400
96,785,641,734,0.37,4.06,432,1.4,0.262,.400
120,863,656,714,0.377,3.91,420,1.36,0.261,.400
106,946,627,747,0.356,4.16,566,1.38,0.244,.400
112,854,682,807,0.375,4.39,528,1.46,0.265,.400
101,777,690,802,0.379,4.39,462,1.4,0.263,.400
126,776,632,781,0.363,4.19,553,1.48,0.246,.400
121,895,644,699,0.363,3.93,487,1.33,0.247,.400
196,937,741,839,0.428,4.77,501,1.45,0.261,.400
158,944,718,835,0.399,4.65,572,1.51,0.253,.400
138,932,615,719,0.381,3.97,538,1.42,0.25,.400
155,962,680,781,0.398,4.49,508,1.46,0.256,.400
211,870,729,880,0.418,5.01,524,1.46,0.258,.400
152,837,747,829,0.403,4.63,641,1.48,0.258,.400
113,897,668,763,0.378,4.27,577,1.4,0.26,.400
132,754,631,757,0.37,4.12,446,1.39,0.244,.400
148,981,664,744,0.398,4.15,461,1.36,0.257,.400
112,912,637,735,0.368,4.05,542,1.37,0.252,.400
106,859,597,734,0.355,4.14,489,1.45,0.239,.400
94,778,693,750,0.383,4.23,464,1.41,0.271,.400
123,899,629,735,0.364,4.04,558,1.41,0.243,.400
147,909,603,749,0.366,4.21,427,1.42,0.241,.400
162,938,682,821,0.396,4.58,473,1.47,0.25,.400
73,833,599,698,0.358,3.87,517,1.32,0.256,.400
170,868,686,796,0.401,4.59,528,1.4,0.254,.400
147,936,674,777,0.387,4.42,473,1.4,0.256,.400
79,1033,605,717,0.347,4,502,1.38,0.244,.400
95,909,579,655,0.357,3.64,484,1.31,0.246,.400
88,888,579,671,0.338,3.84,416,1.37,0.243,.400
75,834,610,667,0.364,3.81,439,1.34,0.256,.400
93,1025,599,653,0.342,3.66,572,1.3,0.235,.400
118,851,686,717,0.377,4.11,509,1.36,0.253,.400
105,927,574,647,0.355,3.61,435,1.29,0.244,.400
114,843,684,770,0.38,4.34,564,1.42,0.26,.400
121,901,693,830,0.385,4.71,493,1.46,0.264,.400
125,810,733,792,0.378,4.45,555,1.4,0.258,.400
158,864,715,846,0.394,4.9,622,1.54,0.254,.400
142,913,758,967,0.422,5.41,388,1.59,0.273,.400
120,682,543,660,0.409,5.42,402,1.54,0.264,.400
113,732,549,589,0.399,4.82,417,1.48,0.26,.400
153,763,569,616,0.451,4.99,372,1.56,0.269,.400
109,717,500,549,0.404,4.47,364,1.41,0.259,.400
94,649,468,576,0.396,4.5,349,1.47,0.266,.400
92,862,479,531,0.401,4.08,319,1.34,0.275,.400
159,729,654,844,0.404,5.49,551,1.6,0.247,.400
125,871,629,736,0.396,4.7,456,1.48,0.259,.400
107,842,563,658,0.374,4.09,436,1.37,0.247,.400
192,1052,762,943,0.431,5.31,527,1.53,0.276,.400
147,999,746,779,0.412,4.22,445,1.42,0.27,.400
132,1044,650,790,0.387,4.49,536,1.39,0.256,.400
153,997,752,862,0.388,4.72,615,1.45,0.253,.400
158,961,747,820,0.407,4.71,561,1.43,0.264,.400
132,908,772,861,0.409,5.02,495,1.46,0.27,.400
197,953,764,946,0.423,5.49,642,1.64,0.26,.400
127,1072,687,759,0.396,4.44,451,1.43,0.263,.400
116,1209,668,840,0.385,4.87,519,1.45,0.255,.400
165,947,722,863,0.415,4.93,455,1.48,0.264,.400
134,999,714,899,0.399,5.16,475,1.5,0.263,.400
115,952,734,818,0.389,4.76,506,1.44,0.266,.400
159,908,665,812,0.393,4.64,489,1.36,0.246,.400
147,1017,644,783,0.394,4.39,439,1.39,0.249,.400
107,1112,650,718,0.374,3.91,393,1.35,0.254,.400
158,877,711,826,0.395,4.79,511,1.46,0.256,.400
212,976,747,882,0.443,5.18,458,1.49,0.261,.400
145,1055,772,913,0.411,5.06,544,1.61,0.274,.400
189,980,747,920,0.42,5.27,571,1.5,0.257,.400
223,1032,906,1028,0.472,6.02,508,1.71,0.288,.400
163,1043,718,853,0.427,4.69,438,1.45,0.265,.400
116,1042,748,880,0.407,5.15,556,1.5,0.27,.400
162,955,733,842,0.399,4.86,559,1.46,0.257,.400
173,918,848,974,0.446,5.52,580,1.64,0.283,.400
183,1143,764,904,0.411,5.25,632,1.49,0.256,.400
249,1064,938,944,0.477,5.41,673,1.53,0.278,.400
178,1011,738,902,0.432,5.13,476,1.51,0.266,.400
144,1123,708,830,0.4,4.77,611,1.46,0.251,.400
168,1070,793,888,0.424,4.93,564,1.56,0.267,.400
139,859,724,876,0.409,5.01,466,1.52,0.26,.400
152,911,729,858,0.409,4.87,406,1.47,0.266,.400
176,943,735,850,0.419,4.77,468,1.45,0.262,.400
209,1057,740,806,0.426,4.64,488,1.48,0.251,.400
131,1103,670,812,0.396,4.68,478,1.42,0.253,.400
165,967,667,773,0.403,4.46,452,1.41,0.246,.400
230,1030,843,882,0.455,5.15,554,1.53,0.269,.400
200,1333,706,759,0.413,4.29,585,1.37,0.246,.400
142,920,641,730,0.381,4.23,537,1.43,0.244,.400
136,1108,662,815,0.381,4.62,547,1.46,0.253,.400
152,981,743,820,0.405,4.76,431,1.45,0.268,.400
158,943,699,778,0.401,4.21,466,1.36,0.254,.400
239,1009,826,969,0.454,5.67,488,1.55,0.266,.400
182,932,694,886,0.395,5.09,524,1.5,0.245,.400
196,1034,714,873,0.419,5.02,547,1.49,0.256,.400
124,907,642,754,0.374,4.48,489,1.47,0.247,.400
201,995,827,844,0.449,4.93,518,1.44,0.272,.400
145,923,714,842,0.405,4.81,469,1.44,0.258,.400
145,956,719,823,0.403,4.91,513,1.49,0.26,.400
202,947,833,923,0.455,5.54,568,1.62,0.275,.400
135,1098,634,757,0.387,4.24,540,1.33,0.248,.400
151,1032,635,769,0.392,4.33,496,1.42,0.249,.400
185,977,684,731,0.409,4.09,512,1.41,0.249,.400
142,1079,680,744,0.401,4.29,415,1.42,0.26,.400
168,907,723,787,0.428,4.51,384,1.37,0.272,.400
130,892,699,751,0.391,4.49,466,1.39,0.256,.400
157,949,750,936,0.425,5.39,412,1.54,0.274,.400
150,981,740,862,0.411,5.13,509,1.55,0.267,.400
149,1004,685,755,0.395,4.38,541,1.33,0.253,.400
139,958,680,769,0.4,4.42,471,1.44,0.259,.400
164,1016,768,899,0.424,5.35,474,1.54,0.277,.400
166,1250,716,834,0.422,4.74,395,1.45,0.268,.400
141,1060,691,797,0.397,4.52,459,1.51,0.263,.400
164,960,746,872,0.418,5.03,594,1.48,0.262,.400
142,1087,756,868,0.412,5.17,500,1.52,0.272,.400
190,1015,693,839,0.404,4.77,532,1.43,0.246,.400
102,993,706,778,0.388,4.48,428,1.44,0.261,.400
187,1194,782,944,0.433,5.53,545,1.55,0.268,.400
204,1068,783,853,0.436,4.94,536,1.44,0.267,.400
201,1142,790,891,0.448,4.94,521,1.58,0.267,.400
148,997,724,846,0.411,4.93,463,1.48,0.263,.400
131,1057,683,720,0.387,4.19,532,1.4,0.254,.400
172,922,782,869,0.429,5.15,533,1.56,0.267,.400
130,1076,753,778,0.408,4.47,618,1.41,0.27,.400
153,963,735,884,0.403,5.1,474,1.57,0.258,.400
94,1240,640,759,0.382,4.38,452,1.43,0.262,.400
161,986,773,865,0.417,5.07,582,1.51,0.264,.400
144,1153,686,842,0.405,4.83,457,1.46,0.259,.400
173,1158,720,782,0.418,4.44,571,1.38,0.253,.400
95,1031,671,757,0.394,4.46,526,1.45,0.27,.400
133,1007,613,785,0.386,4.59,424,1.41,0.259,.400
128,967,646,752,0.378,4.3,545,1.43,0.248,.400
121,1035,676,845,0.399,4.97,471,1.46,0.274,.400
180,1070,713,836,0.416,4.81,589,1.43,0.25,.400
149,1068,655,742,0.39,4.13,503,1.38,0.25,.400
191,1044,708,860,0.413,4.92,452,1.45,0.257,.400
129,1080,730,762,0.415,4.45,442,1.41,0.275,.400
109,1088,556,675,0.348,3.91,435,1.26,0.233,.400
148,1224,654,756,0.401,4.34,425,1.41,0.256,.400
149,1218,625,702,0.388,3.95,542,1.3,0.247,.400
107,1031,610,712,0.368,4.05,489,1.41,0.244,.400
91,1139,593,611,0.349,3.43,501,1.27,0.237,.400
165,1176,734,806,0.415,4.72,428,1.37,0.26,.400
136,1086,667,845,0.381,4.79,555,1.42,0.251,.400
131,1177,676,746,0.4,4.3,404,1.41,0.265,.400
131,943,701,832,0.39,4.77,505,1.39,0.26,.400
137,1113,609,724,0.382,4.1,484,1.35,0.244,.400
1,22,302,313,0.35,3.72,33,1.42,0.287,.450
6,12,351,362,0.417,5.51,49,2.02,0.308,.450
6,13,310,303,0.369,4.37,48,1.48,0.277,.450
3,0,418,480,0.323,3.24,34,1.4,0.281,.450
3,0,476,428,0.36,2.95,28,1.31,0.284,.450
6,125,280,344,0.294,1.69,24,1,0.249,.450
1,132,284,318,0.302,2.66,57,1.25,0.244,.450
3,175,371,331,0.35,2.37,88,1.11,0.29,.450
20,187,416,456,0.343,3.08,105,1.24,0.253,.450
5,173,392,438,0.319,2.74,120,1.19,0.251,.450
8,297,412,370,0.316,2.27,81,1.06,0.231,.450
5,199,349,410,0.317,2.71,110,1.24,0.251,.450
17,265,439,429,0.357,2.65,136,1.24,0.26,.450
5,207,399,429,0.314,2.97,140,1.26,0.248,.450
18,252,428,418,0.348,2.79,90,1.11,0.251,.450
11,225,399,496,0.302,2.92,112,1.21,0.231,.450
24,323,530,577,0.354,2.94,127,1.24,0.255,.450
10,679,438,482,0.296,2.72,119,1.1,0.231,.450
14,436,624,650,0.319,3.46,238,1.18,0.245,.450
19,462,564,598,0.336,2.68,152,1.14,0.248,.450
30,506,764,691,0.365,3.23,223,1.25,0.265,.450
6,371,442,531,0.272,2.71,265,1.19,0.22,.450
45,495,883,865,0.345,4.18,374,1.4,0.249,.450
20,720,833,805,0.348,3.07,410,1.27,0.263,.450
21,513,772,942,0.321,3.97,378,1.39,0.235,.450
24,511,657,661,0.341,3.24,250,1.31,0.26,.450
29,417,893,890,0.375,4.59,321,1.4,0.277,.450
14,367,534,580,0.289,2.67,194,1.17,0.227,.450
25,435,656,720,0.319,3.66,429,1.43,0.25,.450
44,443,742,748,0.362,4,393,1.49,0.266,.450
42,345,726,801,0.351,4.51,420,1.48,0.253,.450
31,477,709,711,0.316,3.56,446,1.42,0.239,.450
25,612,713,698,0.354,3.06,350,1.39,0.259,.450
35,318,835,892,0.369,4.22,569,1.43,0.26,.450
22,400,835,888,0.339,3.5,519,1.48,0.255,.450
21,343,756,773,0.322,3.73,482,1.45,0.252,.450
26,518,635,735,0.316,3.16,427,1.3,0.235,.450
39,641,811,826,0.338,3.29,510,1.36,0.251,.450
27,275,820,893,0.365,4.97,537,1.66,0.275,.450
48,304,955,972,0.443,5.6,434,1.73,0.312,.450
40,312,829,821,0.394,4.54,439,1.5,0.297,.450
49,243,890,891,0.413,5.2,438,1.67,0.295,.450
24,256,802,845,0.366,4.6,351,1.53,0.279,.450
25,342,676,835,0.37,4.67,359,1.49,0.276,.450
36,348,781,793,0.395,4.01,374,1.55,0.297,.450
32,271,728,833,0.342,4.24,375,1.44,0.267,.450
14,330,634,694,0.328,3.41,336,1.32,0.258,.450
40,287,827,775,0.364,3.45,436,1.36,0.28,.450
48,340,778,739,0.373,3.72,395,1.39,0.283,.450
33,357,635,751,0.342,3.23,343,1.34,0.26,.450
36,325,744,748,0.375,3.75,406,1.37,0.291,.450
33,308,682,771,0.364,4.09,356,1.42,0.269,.450
28,558,531,556,0.31,2.9,303,1.22,0.249,.450
6,437,530,501,0.298,2.21,353,1.19,0.25,.450
18,430,633,566,0.362,2.67,297,1.28,0.282,.450
12,554,567,539,0.351,2.75,292,1.26,0.268,.450
12,511,500,525,0.317,2.77,271,1.19,0.244,.450
24,529,602,595,0.327,2.64,343,1.17,0.253,.450
18,555,567,587,0.334,2.85,286,1.16,0.255,.450
23,642,586,622,0.319,2.93,360,1.21,0.248,.450
10,469,518,599,0.306,3.06,333,1.34,0.242,.450
12,500,528,564,0.307,2.58,432,1.21,0.241,.450
15,511,605,665,0.315,3.03,304,1.32,0.249,.450
10,463,542,555,0.313,2.61,370,1.16,0.253,.450
14,624,564,513,0.312,2.28,289,1.13,0.245,.450
14,433,489,544,0.294,2.37,372,1.18,0.227,.450
10,568,493,532,0.313,2.4,283,1.15,0.241,.450
